  
       XFOIL         Version 6.99
  
 Calculated polar for: Repaneled_Airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -5.000  -0.1970   0.00916   0.00156  -0.0643   0.7510   0.0876  50.8160 179.6036
  -4.915  -0.1872   0.00911   0.00153  -0.0643   0.7509   0.0905  50.8363 180.0979
  -4.829  -0.1776   0.00905   0.00151  -0.0643   0.7507   0.0938  50.8560 180.6390
  -4.744  -0.1678   0.00901   0.00149  -0.0644   0.7505   0.0970  50.8737 181.1662
  -4.658  -0.1581   0.00895   0.00147  -0.0644   0.7503   0.1006  50.8929 181.7389
  -4.573  -0.1484   0.00891   0.00144  -0.0644   0.7501   0.1040  50.9200 182.2774
  -4.487  -0.1387   0.00887   0.00142  -0.0645   0.7497   0.1078  50.9648 182.8582
  -4.402  -0.1291   0.00882   0.00140  -0.0645   0.7492   0.1116  51.0230 183.4385
  -4.317  -0.1193   0.00877   0.00138  -0.0645   0.7485   0.1156  51.0984 184.0559
  -4.231  -0.1097   0.00870   0.00136  -0.0645   0.7475   0.1200  51.2050 184.6982
  -4.146  -0.1000   0.00864   0.00134  -0.0645   0.7463   0.1241  51.3409 185.3023
  -4.060  -0.0904   0.00859   0.00132  -0.0645   0.7448   0.1284  51.4977 185.9275
  -3.975  -0.0808   0.00855   0.00130  -0.0645   0.7433   0.1327  51.6641 186.5271
  -3.889  -0.0712   0.00852   0.00128  -0.0645   0.7418   0.1369  51.8256 187.1128
  -3.804  -0.0616   0.00850   0.00126  -0.0645   0.7405   0.1413  51.9678 187.7249
  -3.719  -0.0519   0.00846   0.00124  -0.0645   0.7396   0.1456  52.0696 188.3145
  -3.633  -0.0421   0.00841   0.00123  -0.0645   0.7387   0.1503  52.1655 188.9477
  -3.548  -0.0324   0.00835   0.00121  -0.0646   0.7379   0.1551  52.2574 189.5784
  -3.462  -0.0227   0.00831   0.00120  -0.0646   0.7370   0.1598  52.3472 190.1942
  -3.377  -0.0130   0.00827   0.00119  -0.0646   0.7362   0.1647  52.4373 190.8414
  -3.292  -0.0032   0.00822   0.00117  -0.0646   0.7354   0.1696  52.5246 191.4615
  -3.206   0.0065   0.00818   0.00116  -0.0647   0.7346   0.1747  52.6052 192.1136
  -3.121   0.0163   0.00814   0.00114  -0.0647   0.7339   0.1802  52.6795 192.8000
  -3.035   0.0260   0.00811   0.00113  -0.0647   0.7333   0.1854  52.7484 193.4420
  -2.950   0.0358   0.00807   0.00111  -0.0647   0.7327   0.1908  52.8138 194.0997
  -2.864   0.0455   0.00804   0.00110  -0.0648   0.7321   0.1966  52.8789 194.7998
  -2.779   0.0552   0.00801   0.00108  -0.0648   0.7315   0.2025  52.9446 195.5119
  -2.693   0.0649   0.00798   0.00107  -0.0648   0.7309   0.2091  53.0102 196.2840
  -2.608   0.0747   0.00792   0.00105  -0.0648   0.7303   0.2165  53.0706 197.1494
  -2.523   0.0843   0.00785   0.00104  -0.0649   0.7297   0.2252  53.1369 198.1554
  -2.437   0.0939   0.00778   0.00102  -0.0649   0.7291   0.2360  53.2046 199.3800
  -2.352   0.1035   0.00770   0.00101  -0.0649   0.7285   0.2498  53.2689 200.9207
  -2.266   0.1130   0.00760   0.00099  -0.0649   0.7279   0.2686  53.3276 202.9667
  -2.181   0.1224   0.00749   0.00098  -0.0649   0.7274   0.2925  53.3875 205.5156
  -2.095   0.1318   0.00739   0.00097  -0.0649   0.7268   0.3179  53.4490 208.1505
  -2.010   0.1412   0.00730   0.00097  -0.0649   0.7262   0.3416  53.5119 210.5594
  -1.925   0.1507   0.00722   0.00097  -0.0649   0.7256   0.3621  53.5773 212.6151
  -1.839   0.1603   0.00717   0.00097  -0.0649   0.7249   0.3799  53.6459 214.3703
  -1.754   0.1700   0.00712   0.00097  -0.0649   0.7242   0.3952  53.7211 215.8743
  -1.668   0.1796   0.00709   0.00097  -0.0649   0.7235   0.4080  53.8034 217.1260
  -1.583   0.1893   0.00706   0.00097  -0.0649   0.7227   0.4195  53.8908 218.2397
  -1.498   0.1990   0.00705   0.00097  -0.0649   0.7218   0.4307  53.9814 219.3177
  -1.412   0.2087   0.00701   0.00097  -0.0649   0.7211   0.4414  54.0598 220.3528
  -1.327   0.2184   0.00697   0.00097  -0.0650   0.7203   0.4516  54.1463 221.3345
  -1.241   0.2281   0.00693   0.00098  -0.0650   0.7193   0.4613  54.2428 222.2658
  -1.156   0.2378   0.00690   0.00098  -0.0650   0.7184   0.4706  54.3470 223.1522
  -1.070   0.2475   0.00688   0.00098  -0.0650   0.7173   0.4794  54.4573 223.9959
  -0.985   0.2572   0.00685   0.00098  -0.0650   0.7162   0.4876  54.5726 224.7786
  -0.899   0.2670   0.00683   0.00098  -0.0650   0.7151   0.4959  54.6918 225.5711
  -0.814   0.2767   0.00683   0.00099  -0.0650   0.7139   0.5043  54.8153 226.3816
  -0.729   0.2864   0.00683   0.00099  -0.0650   0.7127   0.5129  54.9428 227.1994
  -0.558   0.3058   0.00679   0.00100  -0.0650   0.7105   0.5294  55.1773 228.7772
  -0.472   0.3155   0.00677   0.00101  -0.0650   0.7092   0.5367  55.3102 229.4742
  -0.387   0.3253   0.00676   0.00102  -0.0650   0.7079   0.5437  55.4533 230.1482
  -0.301   0.3350   0.00675   0.00102  -0.0650   0.7064   0.5508  55.6016 230.8353
  -0.216   0.3448   0.00676   0.00103  -0.0650   0.7050   0.5578  55.7504 231.5001
  -0.131   0.3546   0.00678   0.00104  -0.0650   0.7036   0.5647  55.8961 232.1667
  -0.045   0.3644   0.00681   0.00105  -0.0650   0.7023   0.5714  56.0321 232.8153
   0.040   0.3741   0.00679   0.00106  -0.0650   0.7011   0.5773  56.1655 233.3893
   0.126   0.3840   0.00678   0.00107  -0.0650   0.6996   0.5831  56.3197 233.9488
