  
       XFOIL         Version 6.99
  
 Calculated polar for: Repaneled_Airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -5.000   0.3666   0.01018   0.00169  -0.0539   0.1491   0.4436 112.3561 219.9489
  -4.915   0.3758   0.01021   0.00170  -0.0538   0.1475   0.4445 112.5781 220.0303
  -4.829   0.3849   0.01024   0.00171  -0.0537   0.1458   0.4453 112.7927 220.1171
  -4.744   0.3939   0.01029   0.00173  -0.0535   0.1442   0.4462 113.0044 220.2008
  -4.658   0.4032   0.01030   0.00175  -0.0535   0.1428   0.4471 113.2059 220.2868
  -4.573   0.4125   0.01033   0.00176  -0.0534   0.1411   0.4480 113.4284 220.3747
  -4.487   0.4216   0.01037   0.00178  -0.0533   0.1395   0.4489 113.6465 220.4652
  -4.402   0.4306   0.01042   0.00179  -0.0531   0.1380   0.4498 113.8529 220.5570
  -4.317   0.4396   0.01047   0.00181  -0.0530   0.1365   0.4508 114.0533 220.6507
  -4.231   0.4490   0.01050   0.00183  -0.0529   0.1351   0.4518 114.2535 220.7469
  -4.146   0.4582   0.01054   0.00184  -0.0528   0.1335   0.4527 114.4703 220.8418
  -4.060   0.4673   0.01058   0.00186  -0.0527   0.1319   0.4537 114.6839 220.9330
  -3.889   0.4852   0.01067   0.00189  -0.0524   0.1290   0.4555 115.1003 221.1125
  -3.804   0.4944   0.01069   0.00191  -0.0523   0.1274   0.4564 115.3218 221.2055
  -3.719   0.5035   0.01073   0.00192  -0.0522   0.1258   0.4574 115.5544 221.3008
  -3.633   0.5125   0.01077   0.00194  -0.0521   0.1242   0.4584 115.7736 221.3996
  -3.548   0.5213   0.01083   0.00196  -0.0519   0.1227   0.4595 115.9860 221.5025
  -3.462   0.5305   0.01087   0.00198  -0.0518   0.1213   0.4606 116.1854 221.6094
  -3.377   0.5396   0.01090   0.00200  -0.0517   0.1198   0.4617 116.4027 221.7184
  -3.292   0.5486   0.01095   0.00201  -0.0516   0.1184   0.4628 116.6145 221.8268
  -3.206   0.5575   0.01101   0.00203  -0.0514   0.1170   0.4638 116.8138 221.9310
  -3.121   0.5662   0.01108   0.00205  -0.0512   0.1156   0.4649 117.0174 222.0300
  -3.035   0.5753   0.01110   0.00207  -0.0511   0.1142   0.4659 117.2199 222.1343
  -2.950   0.5843   0.01114   0.00209  -0.0510   0.1126   0.4670 117.4583 222.2385
  -2.864   0.5932   0.01118   0.00211  -0.0509   0.1110   0.4681 117.7017 222.3474
  -2.779   0.6019   0.01125   0.00213  -0.0507   0.1094   0.4693 117.9408 222.4607
  -2.693   0.6109   0.01129   0.00215  -0.0506   0.1079   0.4705 118.1694 222.5810
  -2.608   0.6200   0.01133   0.00217  -0.0505   0.1063   0.4717 118.4211 222.7019
  -2.523   0.6289   0.01138   0.00218  -0.0504   0.1047   0.4730 118.6588 222.8235
  -2.437   0.6376   0.01145   0.00220  -0.0502   0.1032   0.4742 118.8818 222.9406
  -2.352   0.6464   0.01151   0.00222  -0.0501   0.1019   0.4753 119.0915 223.0532
  -2.266   0.6553   0.01154   0.00225  -0.0499   0.1005   0.4765 119.3124 223.1673
  -2.181   0.6642   0.01159   0.00227  -0.0498   0.0990   0.4777 119.5449 223.2833
  -2.095   0.6729   0.01165   0.00229  -0.0497   0.0976   0.4789 119.7742 223.4028
  -2.010   0.6814   0.01173   0.00232  -0.0495   0.0961   0.4802 120.0048 223.5253
  -1.925   0.6904   0.01177   0.00234  -0.0494   0.0947   0.4815 120.2312 223.6526
  -1.839   0.6993   0.01182   0.00236  -0.0492   0.0931   0.4827 120.4932 223.7786
  -1.754   0.7080   0.01189   0.00238  -0.0491   0.0915   0.4840 120.7557 223.9005
  -1.583   0.7255   0.01201   0.00243  -0.0488   0.0884   0.4864 121.2551 224.1309
  -1.498   0.7343   0.01206   0.00246  -0.0487   0.0868   0.4876 121.5245 224.2499
  -1.412   0.7430   0.01213   0.00248  -0.0485   0.0852   0.4888 121.7860 224.3737
  -1.327   0.7516   0.01220   0.00251  -0.0484   0.0838   0.4902 122.0335 224.5032
  -1.241   0.7604   0.01226   0.00253  -0.0483   0.0824   0.4916 122.2749 224.6385
  -1.156   0.7691   0.01232   0.00256  -0.0481   0.0809   0.4930 122.5280 224.7754
  -1.070   0.7778   0.01240   0.00259  -0.0480   0.0795   0.4943 122.7759 224.9100
  -0.985   0.7863   0.01249   0.00262  -0.0478   0.0781   0.4956 123.0192 225.0377
  -0.899   0.7951   0.01254   0.00265  -0.0477   0.0767   0.4970 123.2554 225.1665
  -0.814   0.8038   0.01260   0.00268  -0.0476   0.0753   0.4983 123.5219 225.3013
  -0.729   0.8125   0.01268   0.00271  -0.0474   0.0738   0.4998 123.7876 225.4435
  -0.643   0.8210   0.01277   0.00275  -0.0473   0.0724   0.5013 124.0385 225.5915
  -0.558   0.8298   0.01283   0.00278  -0.0472   0.0710   0.5029 124.2916 225.7459
  -0.472   0.8385   0.01290   0.00281  -0.0470   0.0695   0.5045 124.5725 225.8990
  -0.387   0.8471   0.01299   0.00284  -0.0469   0.0680   0.5060 124.8529 226.0435
  -0.301   0.8558   0.01307   0.00288  -0.0468   0.0666   0.5074 125.1148 226.1879
  -0.216   0.8645   0.01314   0.00291  -0.0467   0.0652   0.5090 125.3888 226.3435
  -0.131   0.8731   0.01322   0.00295  -0.0465   0.0637   0.5107 125.6699 226.5081
  -0.045   0.8817   0.01333   0.00300  -0.0464   0.0623   0.5125 125.9430 226.6792
   0.040   0.8904   0.01340   0.00303  -0.0463   0.0611   0.5143 126.1826 226.8549
   0.211   0.9078   0.01356   0.00311  -0.0461   0.0584   0.5177 126.7174 227.1883
   0.296   0.9163   0.01367   0.00316  -0.0459   0.0571   0.5195 126.9743 227.3672
   0.382   0.9251   0.01374   0.00320  -0.0458   0.0560   0.5215 127.2072 227.5587
   0.467   0.9338   0.01382   0.00324  -0.0457   0.0547   0.5235 127.4664 227.7591
   0.553   0.9424   0.01392   0.00329  -0.0456   0.0535   0.5256 127.7261 227.9604
   0.638   0.9510   0.01404   0.00334  -0.0455   0.0523   0.5276 127.9765 228.1535
   0.724   0.9597   0.01411   0.00339  -0.0454   0.0513   0.5298 128.1891 228.3656
   0.809   0.9684   0.01420   0.00344  -0.0453   0.0502   0.5321 128.4250 228.5961
   0.894   0.9771   0.01431   0.00349  -0.0452   0.0491   0.5346 128.6614 228.8351
   0.980   0.9857   0.01443   0.00355  -0.0451   0.0481   0.5369 128.8935 229.0658
   1.065   0.9944   0.01453   0.00361  -0.0450   0.0471   0.5394 129.1025 229.3048
   1.151   1.0031   0.01461   0.00366  -0.0450   0.0461   0.5421 129.3212 229.5712
   1.236   1.0118   0.01471   0.00371  -0.0449   0.0451   0.5450 129.5562 229.8523
   1.322   1.0205   0.01482   0.00377  -0.0448   0.0441   0.5477 129.7878 230.1238
   1.407   1.0291   0.01495   0.00384  -0.0447   0.0431   0.5507 130.0124 230.4157
   1.492   1.0378   0.01503   0.00389  -0.0446   0.0423   0.5541 130.2100 230.7422
   1.578   1.0465   0.01513   0.00395  -0.0445   0.0414   0.5574 130.4290 231.0672
   1.663   1.0551   0.01524   0.00401  -0.0445   0.0404   0.5608 130.6490 231.4015
   1.749   1.0637   0.01537   0.00408  -0.0444   0.0395   0.5646 130.8668 231.7731
   1.834   1.0724   0.01550   0.00416  -0.0443   0.0387   0.5683 131.0697 232.1389
   1.920   1.0810   0.01559   0.00422  -0.0442   0.0379   0.5723 131.2602 232.5299
   2.005   1.0896   0.01570   0.00429  -0.0441   0.0371   0.5765 131.4663 232.9494
   2.091   1.0982   0.01583   0.00436  -0.0441   0.0363   0.5806 131.6742 233.3473
   2.176   1.1068   0.01598   0.00445  -0.0440   0.0354   0.5851 131.8859 233.7903
   2.261   1.1153   0.01611   0.00453  -0.0439   0.0347   0.5894 132.0792 234.2173
   2.347   1.1239   0.01620   0.00459  -0.0439   0.0340   0.5940 132.2674 234.6799
   2.432   1.1325   0.01631   0.00466  -0.0438   0.0332   0.5986 132.4779 235.1366
   2.518   1.1410   0.01644   0.00474  -0.0437   0.0324   0.6034 132.6852 235.6070
   2.603   1.1496   0.01659   0.00483  -0.0436   0.0317   0.6082 132.8849 236.0841
   2.688   1.1580   0.01673   0.00492  -0.0436   0.0310   0.6128 133.0635 236.5423
   2.859   1.1750   0.01697   0.00507  -0.0434   0.0298   0.6219 133.4028 237.4584
   2.945   1.1835   0.01711   0.00516  -0.0433   0.0292   0.6265 133.5750 237.9227
   3.030   1.1920   0.01726   0.00526  -0.0433   0.0286   0.6304 133.7427 238.3092
   3.116   1.2003   0.01744   0.00537  -0.0432   0.0280   0.6344 133.9130 238.7137
   3.201   1.2087   0.01761   0.00547  -0.0431   0.0275   0.6380 134.0595 239.0843
   3.286   1.2171   0.01774   0.00556  -0.0430   0.0270   0.6410 134.1879 239.3817
   3.372   1.2255   0.01788   0.00565  -0.0429   0.0266   0.6441 134.3271 239.6976
   3.543   1.2421   0.01821   0.00585  -0.0427   0.0256   0.6498 134.6090 240.2762
   3.628   1.2503   0.01839   0.00596  -0.0426   0.0251   0.6526 134.7483 240.5639
   3.714   1.2585   0.01861   0.00608  -0.0425   0.0247   0.6556 134.8944 240.8723
   3.799   1.2666   0.01881   0.00621  -0.0424   0.0242   0.6579 135.0289 241.1080
   3.884   1.2748   0.01894   0.00629  -0.0423   0.0239   0.6599 135.1284 241.3155
   3.970   1.2830   0.01909   0.00637  -0.0422   0.0235   0.6621 135.2432 241.5487
   4.055   1.2912   0.01924   0.00646  -0.0421   0.0232   0.6645 135.3659 241.7934
   4.141   1.2993   0.01941   0.00656  -0.0420   0.0228   0.6667 135.4920 242.0186
   4.226   1.3073   0.01958   0.00666  -0.0419   0.0224   0.6684 135.6152 242.1934
   4.312   1.3152   0.01977   0.00677  -0.0418   0.0220   0.6703 135.7340 242.3960
   4.397   1.3231   0.01997   0.00689  -0.0416   0.0216   0.6724 135.8502 242.6131
   4.482   1.3309   0.02021   0.00703  -0.0415   0.0213   0.6744 135.9709 242.8246
   4.568   1.3387   0.02040   0.00714  -0.0414   0.0210   0.6762 136.0615 243.0106
   4.653   1.3465   0.02054   0.00723  -0.0412   0.0207   0.6777 136.1499 243.1627
   4.739   1.3543   0.02069   0.00733  -0.0411   0.0204   0.6792 136.2435 243.3270
   4.824   1.3620   0.02086   0.00743  -0.0409   0.0202   0.6809 136.3394 243.5018
   4.910   1.3696   0.02104   0.00754  -0.0408   0.0199   0.6826 136.4350 243.6796
   4.995   1.3772   0.02123   0.00765  -0.0406   0.0196   0.6843 136.5282 243.8511
   5.166   1.3921   0.02163   0.00790  -0.0402   0.0191   0.6872 136.7059 244.1560
   5.251   1.3993   0.02184   0.00804  -0.0401   0.0188   0.6887 136.7942 244.3026
   5.337   1.4064   0.02208   0.00819  -0.0398   0.0186   0.6901 136.8867 244.4520
   5.422   1.4131   0.02237   0.00838  -0.0396   0.0183   0.6915 136.9854 244.6031
   5.508   1.4201   0.02256   0.00850  -0.0393   0.0181   0.6930 137.0431 244.7584
   5.593   1.4271   0.02275   0.00861  -0.0390   0.0180   0.6945 137.0994 244.9078
   5.678   1.4339   0.02294   0.00873  -0.0388   0.0178   0.6959 137.1599 245.0535
   5.764   1.4405   0.02312   0.00885  -0.0384   0.0176   0.6973 137.2227 245.2023
   5.849   1.4469   0.02331   0.00897  -0.0381   0.0175   0.6987 137.2865 245.3550
   5.935   1.4534   0.02352   0.00910  -0.0378   0.0173   0.7002 137.3508 245.5109
   6.020   1.4598   0.02373   0.00923  -0.0374   0.0171   0.7018 137.4149 245.6695
   6.106   1.4661   0.02396   0.00938  -0.0371   0.0169   0.7033 137.4791 245.8272
   6.191   1.4724   0.02420   0.00952  -0.0368   0.0168   0.7047 137.5424 245.9800
   6.276   1.4786   0.02444   0.00968  -0.0364   0.0166   0.7062 137.6042 246.1386
   6.362   1.4847   0.02469   0.00985  -0.0361   0.0164   0.7078 137.6649 246.3019
   6.447   1.4906   0.02496   0.01003  -0.0357   0.0163   0.7094 137.7254 246.4765
   6.533   1.4963   0.02525   0.01022  -0.0353   0.0161   0.7111 137.7866 246.6585
   6.618   1.5017   0.02557   0.01043  -0.0349   0.0159   0.7129 137.8499 246.8425
   6.789   1.5112   0.02631   0.01093  -0.0339   0.0156   0.7166 137.9854 247.2362
   6.874   1.5168   0.02657   0.01110  -0.0335   0.0155   0.7189 138.0244 247.4773
   6.960   1.5226   0.02679   0.01125  -0.0331   0.0154   0.7213 138.0593 247.7398
   7.131   1.5339   0.02727   0.01157  -0.0324   0.0152   0.7272 138.1410 248.3755
   7.216   1.5393   0.02752   0.01175  -0.0320   0.0151   0.7311 138.1865 248.7957
   7.301   1.5446   0.02778   0.01193  -0.0315   0.0149   0.7370 138.2341 249.4272
   7.387   1.5496   0.02801   0.01212  -0.0311   0.0148   0.7501 138.2829 250.8600
   7.472   1.5510   0.02788   0.01228  -0.0297   0.0147   0.9194 138.3212 273.3540
   7.558   1.5621   0.02825   0.01257  -0.0307   0.0146   1.0002 138.3905 301.0000
   7.643   1.5668   0.02856   0.01277  -0.0302   0.0144   1.0002 138.4399 301.0000
   7.729   1.5713   0.02888   0.01297  -0.0297   0.0143   1.0002 138.4888 301.0000
   7.814   1.5758   0.02921   0.01317  -0.0292   0.0142   1.0002 138.5370 301.0000
   7.899   1.5800   0.02955   0.01339  -0.0287   0.0141   1.0002 138.5850 301.0000
   7.985   1.5841   0.02991   0.01362  -0.0282   0.0139   1.0002 138.6320 301.0000
   8.070   1.5880   0.03028   0.01386  -0.0276   0.0138   1.0002 138.6781 301.0000
   8.156   1.5917   0.03067   0.01411  -0.0271   0.0137   1.0002 138.7231 301.0000
   8.241   1.5951   0.03108   0.01438  -0.0265   0.0136   1.0002 138.7675 301.0000
   8.327   1.5982   0.03152   0.01468  -0.0259   0.0135   1.0002 138.8116 301.0000
   8.412   1.6009   0.03199   0.01499  -0.0253   0.0134   1.0002 138.8560 301.0000
   8.498   1.6031   0.03250   0.01534  -0.0246   0.0133   1.0002 138.9011 301.0000
   8.583   1.6047   0.03306   0.01573  -0.0238   0.0132   1.0002 138.9474 301.0000
   8.668   1.6056   0.03368   0.01616  -0.0230   0.0130   1.0002 138.9945 301.0000
   8.754   1.6084   0.03413   0.01647  -0.0224   0.0130   1.0002 139.0228 301.0000
   8.839   1.6112   0.03458   0.01678  -0.0219   0.0129   1.0002 139.0508 301.0000
   8.925   1.6137   0.03504   0.01710  -0.0213   0.0128   1.0002 139.0805 301.0000
   9.010   1.6161   0.03553   0.01743  -0.0207   0.0128   1.0002 139.1117 301.0000
   9.095   1.6181   0.03604   0.01779  -0.0200   0.0127   1.0002 139.1439 301.0000
   9.181   1.6200   0.03657   0.01816  -0.0194   0.0126   1.0002 139.1768 301.0000
   9.266   1.6216   0.03713   0.01856  -0.0188   0.0125   1.0002 139.2099 301.0000
   9.352   1.6231   0.03771   0.01897  -0.0182   0.0125   1.0002 139.2433 301.0000
   9.437   1.6242   0.03831   0.01941  -0.0175   0.0124   1.0002 139.2763 301.0000
   9.523   1.6252   0.03894   0.01987  -0.0169   0.0123   1.0002 139.3095 301.0000
   9.608   1.6259   0.03959   0.02035  -0.0162   0.0122   1.0002 139.3423 301.0000
   9.694   1.6264   0.04028   0.02086  -0.0156   0.0122   1.0002 139.3750 301.0000
   9.779   1.6266   0.04099   0.02139  -0.0150   0.0121   1.0002 139.4072 301.0000
   9.864   1.6266   0.04175   0.02197  -0.0144   0.0120   1.0002 139.4389 301.0000
   9.950   1.6262   0.04256   0.02259  -0.0137   0.0120   1.0002 139.4699 301.0000
  10.035   1.6254   0.04342   0.02326  -0.0131   0.0119   1.0002 139.5000 301.0000
  10.121   1.6241   0.04434   0.02398  -0.0125   0.0118   1.0002 139.5288 301.0000
  10.206   1.6225   0.04533   0.02477  -0.0119   0.0118   1.0002 139.5565 301.0000
  10.291   1.6205   0.04641   0.02565  -0.0113   0.0117   1.0002 139.5833 301.0000
  10.377   1.6194   0.04761   0.02665  -0.0110   0.0116   1.0002 139.6122 301.0000
  10.462   1.6191   0.04905   0.02788  -0.0108   0.0116   1.0002 139.6442 301.0000
  10.548   1.6172   0.05081   0.02941  -0.0107   0.0115   1.0002 139.6720 301.0000
  10.633   1.6112   0.05295   0.03131  -0.0104   0.0115   1.0002 139.6886 301.0000
  10.719   1.5997   0.05555   0.03363  -0.0099   0.0115   1.0002 139.6896 301.0000
  10.804   1.5802   0.05890   0.03667  -0.0093   0.0115   1.0002 139.6676 301.0000
  10.889   1.5353   0.06530   0.04261  -0.0089   0.0117   1.0002 139.5734 301.0000
  11.915   1.1215   0.15589   0.13884  -0.0569   0.0138   1.0002 138.7104 301.0000
  12.000   1.1182   0.15800   0.14148  -0.0580   0.0137   1.0002 138.7372 301.0000
