  
       XFOIL         Version 6.99
  
 Calculated polar for: Repaneled_Airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -5.000  -1.1683   0.01574   0.00347   0.1184   0.7692   0.0366  48.8037 169.6589
  -4.915  -1.1607   0.01565   0.00343   0.1187   0.7663   0.0377  49.1396 169.9370
  -4.829  -1.1532   0.01552   0.00339   0.1190   0.7631   0.0389  49.4967 170.2337
  -4.744  -1.1457   0.01541   0.00334   0.1194   0.7602   0.0403  49.8252 170.5576
  -4.658  -1.1381   0.01531   0.00330   0.1197   0.7574   0.0416  50.1394 170.8929
  -4.573  -1.1305   0.01519   0.00326   0.1200   0.7543   0.0431  50.4780 171.2412
  -4.487  -1.1230   0.01507   0.00322   0.1203   0.7515   0.0448  50.7887 171.6370
  -4.317  -1.1077   0.01484   0.00313   0.1210   0.7457   0.0485  51.4350 172.4838
  -4.231  -1.1000   0.01474   0.00309   0.1213   0.7426   0.0507  51.7717 172.9635
  -4.146  -1.0925   0.01461   0.00305   0.1216   0.7398   0.0532  52.0833 173.4863
  -3.975  -1.0773   0.01437   0.00296   0.1223   0.7331   0.0592  52.8010 174.7424
  -3.889  -1.0698   0.01424   0.00291   0.1226   0.7299   0.0630  53.1488 175.5013
  -3.804  -1.0623   0.01410   0.00286   0.1230   0.7262   0.0676  53.5443 176.3861
  -3.719  -1.0550   0.01395   0.00280   0.1234   0.7228   0.0736  53.9112 177.5134
  -3.633  -1.0480   0.01377   0.00274   0.1238   0.7190   0.0823  54.3145 179.0747
  -3.548  -1.0418   0.01351   0.00264   0.1244   0.7151   0.0979  54.7302 181.6870
