  
       XFOIL         Version 6.99
  
 Calculated polar for: Repaneled_Airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -5.000  -0.2066   0.01174   0.00233  -0.0306   0.2628   0.0417  99.4074 170.4807
  -4.915  -0.1970   0.01174   0.00234  -0.0306   0.2624   0.0432  99.4515 170.8326
  -4.829  -0.1875   0.01171   0.00234  -0.0306   0.2620   0.0446  99.4948 171.1662
  -4.744  -0.1779   0.01171   0.00237  -0.0306   0.2616   0.0461  99.5375 171.4968
  -4.658  -0.1683   0.01172   0.00238  -0.0306   0.2612   0.0475  99.5790 171.8164
  -4.573  -0.1588   0.01170   0.00238  -0.0305   0.2609   0.0486  99.6188 172.0796
  -4.487  -0.1493   0.01167   0.00238  -0.0305   0.2605   0.0497  99.6566 172.3167
  -4.402  -0.1398   0.01165   0.00237  -0.0304   0.2602   0.0506  99.6926 172.5090
  -4.317  -0.1303   0.01163   0.00236  -0.0304   0.2599   0.0514  99.7277 172.6960
  -4.231  -0.1208   0.01161   0.00233  -0.0304   0.2595   0.0523  99.7626 172.8762
  -4.146  -0.1113   0.01159   0.00230  -0.0303   0.2592   0.0530  99.7976 173.0413
  -4.060  -0.1020   0.01154   0.00229  -0.0303   0.2589   0.0540  99.8332 173.2379
  -3.975  -0.0926   0.01153   0.00228  -0.0302   0.2585   0.0548  99.8708 173.4211
  -3.889  -0.0832   0.01153   0.00228  -0.0301   0.2582   0.0558  99.9118 173.6179
  -3.804  -0.0739   0.01155   0.00227  -0.0301   0.2577   0.0567  99.9577 173.8217
  -3.633  -0.0550   0.01152   0.00226  -0.0300   0.2571   0.0587 100.0258 174.2175
  -3.548  -0.0454   0.01150   0.00226  -0.0300   0.2569   0.0597 100.0499 174.4163
  -3.462  -0.0358   0.01148   0.00226  -0.0299   0.2566   0.0607 100.0764 174.6273
  -3.377  -0.0262   0.01147   0.00226  -0.0299   0.2564   0.0618 100.1049 174.8420
  -3.292  -0.0166   0.01146   0.00225  -0.0299   0.2561   0.0627 100.1353 175.0346
  -3.206  -0.0070   0.01141   0.00225  -0.0299   0.2558   0.0638 100.1671 175.2409
  -3.121   0.0026   0.01140   0.00225  -0.0298   0.2555   0.0648 100.2001 175.4349
  -3.035   0.0122   0.01139   0.00225  -0.0298   0.2552   0.0658 100.2339 175.6410
  -2.950   0.0218   0.01138   0.00224  -0.0298   0.2549   0.0669 100.2685 175.8490
  -2.864   0.0314   0.01137   0.00223  -0.0298   0.2546   0.0679 100.3035 176.0399
  -2.779   0.0409   0.01133   0.00224  -0.0297   0.2542   0.0690 100.3384 176.2507
  -2.693   0.0505   0.01133   0.00224  -0.0297   0.2539   0.0701 100.3736 176.4590
  -2.608   0.0602   0.01132   0.00225  -0.0297   0.2536   0.0713 100.4087 176.6870
  -2.523   0.0698   0.01132   0.00224  -0.0297   0.2533   0.0725 100.4435 176.9120
  -2.437   0.0794   0.01130   0.00224  -0.0297   0.2530   0.0737 100.4777 177.1268
  -2.352   0.0889   0.01129   0.00225  -0.0296   0.2527   0.0748 100.5127 177.3333
  -2.266   0.0986   0.01129   0.00225  -0.0296   0.2523   0.0760 100.5485 177.5479
  -2.181   0.1082   0.01129   0.00225  -0.0296   0.2520   0.0773 100.5847 177.7770
  -2.095   0.1179   0.01129   0.00224  -0.0296   0.2517   0.0784 100.6211 177.9845
  -2.010   0.1275   0.01126   0.00224  -0.0296   0.2513   0.0797 100.6571 178.2012
  -1.925   0.1371   0.01125   0.00224  -0.0296   0.2510   0.0808 100.6930 178.4037
  -1.839   0.1467   0.01125   0.00224  -0.0296   0.2507   0.0820 100.7285 178.6181
  -1.754   0.1564   0.01125   0.00223  -0.0295   0.2504   0.0833 100.7637 178.8326
  -1.668   0.1660   0.01125   0.00221  -0.0295   0.2500   0.0844 100.7988 179.0233
  -1.583   0.1755   0.01124   0.00222  -0.0295   0.2497   0.0855 100.8342 179.2238
  -1.498   0.1851   0.01125   0.00222  -0.0295   0.2494   0.0867 100.8706 179.4152
  -1.412   0.1946   0.01127   0.00223  -0.0295   0.2490   0.0879 100.9091 179.6215
  -1.327   0.2040   0.01131   0.00223  -0.0294   0.2486   0.0892 100.9506 179.8388
  -1.241   0.2134   0.01137   0.00224  -0.0294   0.2482   0.0903 100.9979 180.0385
  -1.156   0.2230   0.01135   0.00226  -0.0294   0.2480   0.0916 101.0184 180.2507
  -1.070   0.2327   0.01135   0.00228  -0.0294   0.2478   0.0929 101.0399 180.4626
  -0.985   0.2423   0.01135   0.00229  -0.0294   0.2476   0.0944 101.0636 180.7011
  -0.899   0.2520   0.01136   0.00230  -0.0293   0.2474   0.0958 101.0891 180.9356
  -0.814   0.2616   0.01135   0.00231  -0.0293   0.2471   0.0971 101.1162 181.1557
  -0.729   0.2713   0.01135   0.00233  -0.0293   0.2469   0.0984 101.1448 181.3599
  -0.643   0.2809   0.01136   0.00234  -0.0293   0.2466   0.0997 101.1746 181.5680
  -0.558   0.2906   0.01136   0.00235  -0.0293   0.2463   0.1010 101.2055 181.7788
  -0.472   0.3002   0.01137   0.00235  -0.0293   0.2460   0.1022 101.2372 181.9716
  -0.387   0.3098   0.01136   0.00236  -0.0293   0.2458   0.1035 101.2694 182.1671
  -0.301   0.3195   0.01136   0.00238  -0.0293   0.2455   0.1047 101.3024 182.3543
  -0.216   0.3291   0.01137   0.00239  -0.0293   0.2452   0.1060 101.3364 182.5553
  -0.131   0.3387   0.01138   0.00239  -0.0293   0.2448   0.1073 101.3711 182.7674
  -0.045   0.3484   0.01139   0.00239  -0.0293   0.2445   0.1086 101.4064 182.9651
   0.040   0.3580   0.01138   0.00240  -0.0293   0.2442   0.1099 101.4415 183.1679
   0.126   0.3676   0.01138   0.00241  -0.0293   0.2439   0.1113 101.4763 183.3755
   0.211   0.3773   0.01139   0.00242  -0.0293   0.2436   0.1128 101.5104 183.6061
   0.296   0.3869   0.01140   0.00242  -0.0293   0.2433   0.1144 101.5439 183.8435
   0.382   0.3966   0.01141   0.00243  -0.0293   0.2430   0.1158 101.5773 184.0570
   0.467   0.4062   0.01140   0.00243  -0.0293   0.2427   0.1173 101.6107 184.2751
   0.553   0.4158   0.01141   0.00244  -0.0293   0.2424   0.1188 101.6440 184.4963
   0.638   0.4254   0.01142   0.00244  -0.0293   0.2421   0.1203 101.6770 184.7282
   0.724   0.4351   0.01143   0.00244  -0.0293   0.2418   0.1218 101.7098 184.9453
   0.809   0.4446   0.01143   0.00244  -0.0293   0.2415   0.1232 101.7422 185.1532
   0.894   0.4542   0.01144   0.00244  -0.0293   0.2412   0.1246 101.7747 185.3560
   0.980   0.4638   0.01145   0.00244  -0.0293   0.2409   0.1261 101.8072 185.5729
   1.065   0.4734   0.01147   0.00244  -0.0293   0.2406   0.1277 101.8403 185.7993
   1.236   0.4924   0.01153   0.00246  -0.0293   0.2400   0.1307 101.9111 186.2304
   1.322   0.5018   0.01159   0.00248  -0.0292   0.2396   0.1323 101.9529 186.4551
   1.407   0.5112   0.01167   0.00252  -0.0292   0.2391   0.1341 102.0016 186.7037
   1.492   0.5208   0.01168   0.00253  -0.0292   0.2390   0.1359 102.0218 186.9624
   1.578   0.5304   0.01167   0.00255  -0.0292   0.2388   0.1379 102.0444 187.2395
   1.663   0.5400   0.01167   0.00256  -0.0292   0.2385   0.1400 102.0696 187.5245
   1.749   0.5496   0.01168   0.00258  -0.0292   0.2383   0.1421 102.0971 187.8169
