  
       XFOIL         Version 6.99
  
 Calculated polar for: Repaneled_Airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -5.000  -0.7842   0.01418   0.00328   0.0765   0.2680   0.0229  99.1048 165.5548
  -4.915  -0.7757   0.01411   0.00324   0.0768   0.2676   0.0234  99.1433 165.7144
  -4.829  -0.7672   0.01404   0.00321   0.0770   0.2672   0.0239  99.1851 165.8664
  -4.658  -0.7502   0.01389   0.00314   0.0775   0.2664   0.0248  99.2753 166.1565
  -4.573  -0.7416   0.01381   0.00310   0.0778   0.2660   0.0254  99.3225 166.3179
  -4.487  -0.7330   0.01374   0.00307   0.0780   0.2655   0.0259  99.3704 166.4846
  -4.402  -0.7244   0.01368   0.00304   0.0783   0.2651   0.0265  99.4182 166.6496
  -4.317  -0.7156   0.01361   0.00301   0.0785   0.2647   0.0270  99.4652 166.8051
  -4.231  -0.7069   0.01356   0.00297   0.0787   0.2642   0.0275  99.5109 166.9423
  -4.146  -0.6982   0.01349   0.00294   0.0789   0.2638   0.0279  99.5546 167.0785
  -4.060  -0.6896   0.01341   0.00290   0.0791   0.2635   0.0285  99.5960 167.2326
  -3.975  -0.6809   0.01335   0.00287   0.0793   0.2631   0.0290  99.6353 167.3936
  -3.889  -0.6722   0.01329   0.00284   0.0795   0.2627   0.0296  99.6736 167.5625
  -3.804  -0.6634   0.01323   0.00281   0.0797   0.2624   0.0302  99.7111 167.7335
  -3.719  -0.6545   0.01318   0.00278   0.0799   0.2621   0.0308  99.7483 167.8972
  -3.633  -0.6457   0.01313   0.00275   0.0801   0.2617   0.0314  99.7851 168.0538
  -3.548  -0.6369   0.01307   0.00273   0.0803   0.2614   0.0321  99.8222 168.2340
  -3.462  -0.6281   0.01302   0.00270   0.0805   0.2610   0.0328  99.8607 168.4195
  -3.377  -0.6192   0.01298   0.00268   0.0807   0.2606   0.0335  99.9020 168.6121
  -3.292  -0.6103   0.01296   0.00266   0.0808   0.2602   0.0342  99.9488 168.8026
  -3.206  -0.6014   0.01295   0.00264   0.0810   0.2597   0.0348 100.0022 168.9751
  -3.121  -0.5925   0.01289   0.00262   0.0812   0.2595   0.0356 100.0261 169.1574
  -3.035  -0.5835   0.01283   0.00261   0.0813   0.2593   0.0363 100.0529 169.3500
  -2.950  -0.5744   0.01278   0.00260   0.0815   0.2590   0.0371 100.0826 169.5525
  -2.864  -0.5653   0.01274   0.00259   0.0816   0.2587   0.0380 100.1152 169.7860
  -2.779  -0.5561   0.01271   0.00258   0.0817   0.2584   0.0390 100.1501 170.0390
  -2.693  -0.5472   0.01266   0.00258   0.0819   0.2580   0.0403 100.1863 170.3469
  -2.608  -0.5379   0.01264   0.00259   0.0820   0.2577   0.0417 100.2244 170.6792
  -2.523  -0.5285   0.01263   0.00260   0.0821   0.2573   0.0430 100.2636 170.9910
  -2.437  -0.5195   0.01258   0.00261   0.0822   0.2570   0.0444 100.3027 171.3192
  -2.352  -0.5101   0.01258   0.00264   0.0822   0.2566   0.0458 100.3425 171.6306
  -2.266  -0.5006   0.01258   0.00264   0.0823   0.2563   0.0470 100.3823 171.9154
  -2.181  -0.4916   0.01253   0.00264   0.0824   0.2559   0.0481 100.4209 172.1595
  -2.095  -0.4824   0.01249   0.00264   0.0826   0.2556   0.0491 100.4592 172.3666
  -2.010  -0.4732   0.01246   0.00264   0.0827   0.2552   0.0499 100.4971 172.5473
  -1.925  -0.4640   0.01242   0.00262   0.0828   0.2549   0.0507 100.5358 172.7330
  -1.839  -0.4547   0.01239   0.00259   0.0829   0.2545   0.0515 100.5752 172.9070
  -1.754  -0.4456   0.01234   0.00256   0.0830   0.2541   0.0523 100.6144 173.0779
  -1.668  -0.4365   0.01228   0.00255   0.0832   0.2538   0.0532 100.6534 173.2655
  -1.583  -0.4273   0.01224   0.00254   0.0833   0.2534   0.0541 100.6925 173.4490
