  
       XFOIL         Version 6.99
  
 Calculated polar for: Repaneled_Airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -5.000  -0.3819   0.00986   0.00118  -0.0067   0.2027   0.2561 106.2483 201.4271
  -4.915  -0.3726   0.00980   0.00117  -0.0066   0.2020   0.2666 106.3268 202.5710
  -4.829  -0.3633   0.00975   0.00117  -0.0065   0.2014   0.2743 106.4062 203.3952
  -4.744  -0.3538   0.00972   0.00116  -0.0065   0.2007   0.2806 106.4852 204.0681
  -4.658  -0.3445   0.00968   0.00116  -0.0064   0.2000   0.2862 106.5626 204.6680
  -4.573  -0.3350   0.00966   0.00116  -0.0064   0.1994   0.2907 106.6385 205.1436
  -4.487  -0.3255   0.00963   0.00115  -0.0063   0.1988   0.2951 106.7127 205.6090
  -4.317  -0.3067   0.00960   0.00115  -0.0062   0.1975   0.3029 106.8653 206.4210
  -4.231  -0.2973   0.00960   0.00115  -0.0061   0.1968   0.3066 106.9508 206.8007
  -4.146  -0.2878   0.00960   0.00115  -0.0061   0.1962   0.3099 107.0248 207.1460
  -4.060  -0.2783   0.00957   0.00115  -0.0060   0.1957   0.3136 107.0831 207.5320
  -3.975  -0.2687   0.00955   0.00115  -0.0060   0.1951   0.3174 107.1515 207.9199
  -3.889  -0.2591   0.00952   0.00115  -0.0060   0.1945   0.3211 107.2268 208.3016
  -3.804  -0.2496   0.00949   0.00115  -0.0059   0.1938   0.3252 107.3057 208.7210
  -3.719  -0.2400   0.00948   0.00115  -0.0059   0.1932   0.3290 107.3849 209.1089
  -3.633  -0.2305   0.00945   0.00115  -0.0058   0.1925   0.3330 107.4610 209.5100
  -3.548  -0.2210   0.00944   0.00115  -0.0058   0.1919   0.3368 107.5329 209.9003
  -3.462  -0.2115   0.00942   0.00115  -0.0058   0.1914   0.3405 107.6022 210.2791
  -3.377  -0.2019   0.00940   0.00115  -0.0057   0.1908   0.3448 107.6695 210.7039
  -3.292  -0.1924   0.00939   0.00116  -0.0057   0.1903   0.3487 107.7351 211.0971
  -3.206  -0.1829   0.00938   0.00116  -0.0056   0.1897   0.3530 107.7997 211.5293
  -3.121  -0.1735   0.00938   0.00116  -0.0056   0.1892   0.3576 107.8666 211.9902
  -3.035  -0.1642   0.00937   0.00116  -0.0055   0.1885   0.3628 107.9434 212.5152
  -2.950  -0.1548   0.00937   0.00117  -0.0055   0.1879   0.3686 108.0190 213.0846
  -2.864  -0.1452   0.00933   0.00117  -0.0055   0.1874   0.3749 108.0768 213.7091
  -2.779  -0.1357   0.00930   0.00117  -0.0054   0.1869   0.3810 108.1441 214.3141
  -2.693  -0.1261   0.00927   0.00117  -0.0054   0.1863   0.3875 108.2178 214.9510
  -2.608  -0.1166   0.00924   0.00118  -0.0054   0.1857   0.3942 108.2936 215.6093
  -2.523  -0.1071   0.00921   0.00118  -0.0054   0.1851   0.4013 108.3689 216.3019
  -2.437  -0.0976   0.00918   0.00118  -0.0053   0.1845   0.4093 108.4422 217.0908
  -2.352  -0.0881   0.00915   0.00119  -0.0053   0.1839   0.4182 108.5126 217.9497
  -2.266  -0.0787   0.00911   0.00119  -0.0053   0.1833   0.4274 108.5825 218.8444
  -2.181  -0.0692   0.00908   0.00119  -0.0052   0.1828   0.4365 108.6505 219.7192
  -2.095  -0.0597   0.00906   0.00120  -0.0052   0.1822   0.4444 108.7157 220.4821
  -2.010  -0.0502   0.00905   0.00120  -0.0052   0.1817   0.4513 108.7776 221.1510
  -1.925  -0.0407   0.00905   0.00121  -0.0051   0.1812   0.4581 108.8398 221.7997
  -1.839  -0.0313   0.00905   0.00122  -0.0051   0.1807   0.4642 108.9065 222.3858
  -1.754  -0.0220   0.00908   0.00123  -0.0050   0.1800   0.4704 108.9840 222.9879
  -1.668  -0.0125   0.00907   0.00125  -0.0050   0.1796   0.4766 109.0370 223.5761
  -1.583  -0.0028   0.00905   0.00126  -0.0050   0.1792   0.4826 109.0912 224.1547
  -1.498   0.0068   0.00904   0.00127  -0.0050   0.1787   0.4889 109.1542 224.7600
  -1.412   0.0164   0.00902   0.00128  -0.0050   0.1781   0.4949 109.2243 225.3327
  -1.327   0.0261   0.00902   0.00129  -0.0050   0.1775   0.5012 109.2994 225.9323
  -1.241   0.0357   0.00900   0.00131  -0.0049   0.1769   0.5070 109.3762 226.4960
  -1.156   0.0453   0.00900   0.00132  -0.0049   0.1763   0.5130 109.4525 227.0714
  -1.070   0.0549   0.00899   0.00132  -0.0049   0.1757   0.5190 109.5275 227.6468
  -0.985   0.0645   0.00898   0.00133  -0.0049   0.1751   0.5249 109.6011 228.2035
  -0.899   0.0741   0.00898   0.00134  -0.0049   0.1745   0.5309 109.6727 228.7807
  -0.814   0.0837   0.00898   0.00135  -0.0049   0.1740   0.5365 109.7435 229.3174
  -0.729   0.0933   0.00898   0.00135  -0.0049   0.1734   0.5423 109.8143 229.8830
  -0.643   0.1028   0.00899   0.00136  -0.0049   0.1728   0.5479 109.8882 230.4148
  -0.558   0.1121   0.00903   0.00138  -0.0048   0.1721   0.5536 109.9728 230.9680
  -0.472   0.1217   0.00903   0.00139  -0.0048   0.1716   0.5591 110.0380 231.4966
  -0.301   0.1410   0.00902   0.00143  -0.0048   0.1706   0.5701 110.1646 232.5636
  -0.216   0.1507   0.00903   0.00145  -0.0048   0.1700   0.5755 110.2366 233.0858
  -0.131   0.1603   0.00902   0.00146  -0.0048   0.1694   0.5810 110.3131 233.6130
  -0.045   0.1700   0.00903   0.00148  -0.0048   0.1688   0.5863 110.3924 234.1287
   0.040   0.1796   0.00903   0.00149  -0.0048   0.1682   0.5916 110.4715 234.6484
   0.126   0.1892   0.00903   0.00150  -0.0048   0.1676   0.5968 110.5479 235.1500
   0.211   0.1988   0.00903   0.00151  -0.0048   0.1670   0.6020 110.6199 235.6602
   0.296   0.2085   0.00904   0.00152  -0.0048   0.1665   0.6070 110.6888 236.1554
   0.382   0.2180   0.00905   0.00153  -0.0048   0.1660   0.6122 110.7561 236.6616
   0.467   0.2276   0.00907   0.00154  -0.0048   0.1654   0.6171 110.8249 237.1476
   0.553   0.2371   0.00909   0.00156  -0.0047   0.1648   0.6221 110.9043 237.6409
   0.638   0.2464   0.00915   0.00158  -0.0047   0.1640   0.6269 111.0032 238.1143
   0.724   0.2561   0.00914   0.00159  -0.0047   0.1635   0.6318 111.0737 238.5974
   0.809   0.2659   0.00913   0.00161  -0.0047   0.1628   0.6366 111.1601 239.0760
   0.894   0.2756   0.00913   0.00162  -0.0047   0.1621   0.6413 111.2547 239.5473
   1.065   0.2949   0.00914   0.00165  -0.0048   0.1606   0.6506 111.4392 240.4775
   1.151   0.3046   0.00915   0.00166  -0.0048   0.1600   0.6553 111.5223 240.9474
   1.236   0.3142   0.00916   0.00167  -0.0048   0.1594   0.6595 111.6013 241.3775
   1.322   0.3238   0.00917   0.00168  -0.0048   0.1588   0.6641 111.6781 241.8373
   1.407   0.3334   0.00919   0.00169  -0.0048   0.1582   0.6682 111.7536 242.2599
   1.492   0.3430   0.00921   0.00170  -0.0048   0.1576   0.6726 111.8316 242.7080
   1.578   0.3525   0.00925   0.00171  -0.0048   0.1569   0.6768 111.9202 243.1289
   1.663   0.3618   0.00930   0.00173  -0.0047   0.1562   0.6808 112.0183 243.5440
   1.749   0.3716   0.00930   0.00175  -0.0048   0.1556   0.6850 112.0996 243.9756
   1.834   0.3813   0.00930   0.00177  -0.0048   0.1548   0.6888 112.1937 244.3638
   1.920   0.3910   0.00931   0.00178  -0.0048   0.1541   0.6928 112.2950 244.7810
   2.005   0.4006   0.00932   0.00179  -0.0048   0.1533   0.6965 112.3981 245.1657
   2.091   0.4103   0.00933   0.00180  -0.0048   0.1525   0.7002 112.5000 245.5569
   2.176   0.4200   0.00934   0.00180  -0.0049   0.1518   0.7041 112.5988 245.9585
   2.261   0.4296   0.00935   0.00181  -0.0049   0.1511   0.7075 112.6924 246.3158
   2.347   0.4392   0.00937   0.00181  -0.0049   0.1504   0.7111 112.7847 246.7020
   2.432   0.4488   0.00940   0.00181  -0.0049   0.1496   0.7146 112.8813 247.0732
   2.518   0.4581   0.00945   0.00183  -0.0049   0.1488   0.7180 112.9927 247.4330
   2.603   0.4678   0.00946   0.00184  -0.0049   0.1481   0.7217 113.0858 247.8221
   2.688   0.4775   0.00946   0.00186  -0.0049   0.1473   0.7250 113.1952 248.1812
   2.774   0.4871   0.00947   0.00187  -0.0050   0.1464   0.7285 113.3162 248.5523
   2.859   0.4968   0.00948   0.00187  -0.0050   0.1455   0.7321 113.4396 248.9411
   2.945   0.5064   0.00949   0.00188  -0.0050   0.1446   0.7353 113.5573 249.2941
   3.030   0.5160   0.00950   0.00188  -0.0050   0.1438   0.7389 113.6675 249.6821
   3.116   0.5256   0.00953   0.00188  -0.0050   0.1430   0.7424 113.7764 250.0677
   3.201   0.5350   0.00956   0.00188  -0.0050   0.1421   0.7459 113.8909 250.4435
   3.286   0.5443   0.00961   0.00189  -0.0050   0.1412   0.7495 114.0175 250.8486
   3.372   0.5540   0.00961   0.00191  -0.0050   0.1404   0.7529 114.1340 251.2213
   3.457   0.5636   0.00962   0.00192  -0.0051   0.1393   0.7564 114.2739 251.6171
   3.628   0.5828   0.00963   0.00193  -0.0051   0.1372   0.7636 114.5743 252.4187
   3.714   0.5923   0.00965   0.00192  -0.0051   0.1361   0.7674 114.7211 252.8529
   3.799   0.6017   0.00967   0.00192  -0.0051   0.1351   0.7711 114.8596 253.2645
   3.884   0.6110   0.00972   0.00193  -0.0051   0.1341   0.7750 115.0037 253.7181
   3.970   0.6205   0.00973   0.00195  -0.0051   0.1331   0.7790 115.1368 254.1765
   4.055   0.6300   0.00973   0.00196  -0.0051   0.1320   0.7833 115.2924 254.6740
   4.141   0.6395   0.00975   0.00197  -0.0051   0.1308   0.7878 115.4592 255.1942
   4.226   0.6489   0.00976   0.00198  -0.0051   0.1296   0.7926 115.6308 255.7659
   4.312   0.6582   0.00977   0.00197  -0.0051   0.1284   0.7977 115.8005 256.3601
   4.482   0.6767   0.00982   0.00200  -0.0050   0.1260   0.8090 116.1378 257.7273
   4.568   0.6860   0.00983   0.00201  -0.0050   0.1247   0.8154 116.3255 258.5072
   4.653   0.6951   0.00984   0.00202  -0.0049   0.1234   0.8226 116.5152 259.4059
   4.739   0.7042   0.00985   0.00203  -0.0048   0.1222   0.8309 116.6974 260.4606
   4.824   0.7130   0.00987   0.00204  -0.0047   0.1209   0.8411 116.8760 261.7732
   4.910   0.7216   0.00989   0.00207  -0.0045   0.1197   0.8532 117.0551 263.3759
   4.995   0.7301   0.00988   0.00210  -0.0043   0.1184   0.8677 117.2465 265.3866
   5.080   0.7382   0.00987   0.00212  -0.0040   0.1170   0.8851 117.4572 267.9153
   5.166   0.7458   0.00986   0.00214  -0.0035   0.1156   0.9053 117.6638 271.0719
   5.251   0.7531   0.00987   0.00216  -0.0030   0.1143   0.9279 117.8612 274.9899
   5.337   0.7619   0.00990   0.00219  -0.0028   0.1129   0.9492 118.0608 279.2466
   5.422   0.7737   0.00993   0.00222  -0.0033   0.1113   0.9656 118.3031 283.1529
   5.508   0.7868   0.00999   0.00225  -0.0041   0.1094   0.9777 118.5907 286.6689
   5.593   0.8000   0.01007   0.00227  -0.0050   0.1075   0.9870 118.8829 290.0367
   5.678   0.8134   0.01014   0.00230  -0.0060   0.1057   0.9938 119.1604 293.4666
   5.764   0.8270   0.01021   0.00233  -0.0070   0.1038   0.9989 119.4668 297.8479
   5.849   0.8370   0.01029   0.00236  -0.0072   0.1020   1.0000 119.7408 301.0000
   5.935   0.8455   0.01038   0.00239  -0.0070   0.1004   1.0000 119.9969 301.0000
   6.020   0.8543   0.01044   0.00241  -0.0070   0.0988   1.0000 120.2434 301.0000
   6.106   0.8631   0.01051   0.00244  -0.0069   0.0971   1.0000 120.5277 301.0000
   6.191   0.8718   0.01059   0.00248  -0.0068   0.0953   1.0000 120.8097 301.0000
   6.276   0.8804   0.01068   0.00251  -0.0067   0.0937   1.0000 121.0644 301.0000
   6.362   0.8893   0.01075   0.00255  -0.0066   0.0921   1.0000 121.3293 301.0000
   6.447   0.8980   0.01083   0.00258  -0.0066   0.0904   1.0000 121.6219 301.0000
   6.533   0.9067   0.01093   0.00262  -0.0065   0.0886   1.0000 121.9172 301.0000
   6.618   0.9155   0.01102   0.00266  -0.0064   0.0868   1.0000 122.2101 301.0000
   6.704   0.9242   0.01111   0.00271  -0.0063   0.0849   1.0000 122.5492 301.0000
   6.789   0.9327   0.01123   0.00276  -0.0062   0.0828   1.0000 122.9040 301.0000
   6.874   0.9415   0.01132   0.00281  -0.0062   0.0807   1.0000 123.2593 301.0000
   6.960   0.9502   0.01143   0.00286  -0.0061   0.0783   1.0000 123.6883 301.0000
   7.045   0.9588   0.01155   0.00292  -0.0060   0.0760   1.0000 124.0981 301.0000
   7.131   0.9675   0.01166   0.00297  -0.0060   0.0736   1.0000 124.5433 301.0000
   7.301   0.9846   0.01191   0.00311  -0.0058   0.0688   1.0000 125.4225 301.0000
   7.387   0.9930   0.01206   0.00319  -0.0057   0.0665   1.0000 125.8643 301.0000
   7.472   1.0017   0.01218   0.00325  -0.0057   0.0643   1.0000 126.2785 301.0000
   7.558   1.0102   0.01232   0.00333  -0.0056   0.0619   1.0000 126.7630 301.0000
   7.643   1.0187   0.01246   0.00341  -0.0055   0.0597   1.0000 127.2030 301.0000
   7.729   1.0273   0.01260   0.00349  -0.0055   0.0574   1.0000 127.6681 301.0000
   7.814   1.0357   0.01276   0.00358  -0.0054   0.0554   1.0000 128.0847 301.0000
   7.899   1.0443   0.01289   0.00366  -0.0053   0.0536   1.0000 128.4636 301.0000
   7.985   1.0527   0.01305   0.00376  -0.0053   0.0519   1.0000 128.8257 301.0000
   8.070   1.0612   0.01319   0.00384  -0.0052   0.0504   1.0000 129.1435 301.0000
   8.156   1.0698   0.01331   0.00392  -0.0051   0.0488   1.0000 129.4979 301.0000
   8.241   1.0783   0.01347   0.00401  -0.0051   0.0472   1.0000 129.8600 301.0000
   8.327   1.0867   0.01361   0.00410  -0.0050   0.0458   1.0000 130.1715 301.0000
   8.412   1.0953   0.01375   0.00419  -0.0049   0.0444   1.0000 130.4954 301.0000
   8.498   1.1036   0.01391   0.00429  -0.0049   0.0430   1.0000 130.8147 301.0000
   8.583   1.1120   0.01407   0.00439  -0.0048   0.0418   1.0000 131.0916 301.0000
   8.668   1.1205   0.01421   0.00448  -0.0047   0.0408   1.0000 131.3557 301.0000
   8.754   1.1289   0.01436   0.00458  -0.0047   0.0396   1.0000 131.6253 301.0000
   8.839   1.1372   0.01454   0.00469  -0.0046   0.0386   1.0000 131.8831 301.0000
   8.925   1.1456   0.01469   0.00479  -0.0045   0.0377   1.0000 132.1085 301.0000
   9.010   1.1541   0.01482   0.00487  -0.0045   0.0367   1.0000 132.3558 301.0000
   9.095   1.1624   0.01497   0.00497  -0.0044   0.0356   1.0000 132.6285 301.0000
   9.181   1.1706   0.01514   0.00508  -0.0043   0.0346   1.0000 132.8969 301.0000
   9.266   1.1789   0.01531   0.00519  -0.0042   0.0337   1.0000 133.1306 301.0000
   9.352   1.1872   0.01546   0.00529  -0.0041   0.0328   1.0000 133.3720 301.0000
   9.437   1.1954   0.01563   0.00540  -0.0041   0.0319   1.0000 133.6180 301.0000
   9.523   1.2035   0.01581   0.00552  -0.0040   0.0310   1.0000 133.8534 301.0000
   9.608   1.2115   0.01599   0.00564  -0.0039   0.0303   1.0000 134.0581 301.0000
   9.694   1.2198   0.01615   0.00574  -0.0038   0.0296   1.0000 134.2461 301.0000
   9.779   1.2279   0.01631   0.00585  -0.0037   0.0289   1.0000 134.4439 301.0000
   9.864   1.2360   0.01649   0.00598  -0.0036   0.0283   1.0000 134.6424 301.0000
   9.950   1.2438   0.01669   0.00611  -0.0035   0.0276   1.0000 134.8360 301.0000
  10.035   1.2517   0.01690   0.00626  -0.0034   0.0270   1.0000 135.0176 301.0000
  10.121   1.2599   0.01704   0.00635  -0.0033   0.0264   1.0000 135.1761 301.0000
  10.206   1.2680   0.01719   0.00645  -0.0032   0.0258   1.0000 135.3666 301.0000
  10.291   1.2760   0.01737   0.00657  -0.0031   0.0251   1.0000 135.5737 301.0000
  10.377   1.2838   0.01756   0.00670  -0.0030   0.0244   1.0000 135.7811 301.0000
  10.462   1.2914   0.01778   0.00685  -0.0029   0.0238   1.0000 135.9760 301.0000
  10.548   1.2993   0.01796   0.00697  -0.0028   0.0233   1.0000 136.1405 301.0000
  10.633   1.3071   0.01814   0.00709  -0.0026   0.0228   1.0000 136.3136 301.0000
  10.719   1.3148   0.01834   0.00723  -0.0025   0.0222   1.0000 136.4908 301.0000
  10.804   1.3223   0.01855   0.00737  -0.0024   0.0217   1.0000 136.6664 301.0000
  10.889   1.3298   0.01877   0.00753  -0.0022   0.0211   1.0000 136.8378 301.0000
  10.975   1.3371   0.01901   0.00769  -0.0021   0.0206   1.0000 137.0033 301.0000
  11.060   1.3448   0.01919   0.00782  -0.0019   0.0203   1.0000 137.1289 301.0000
  11.146   1.3523   0.01938   0.00795  -0.0018   0.0199   1.0000 137.2670 301.0000
  11.231   1.3597   0.01959   0.00810  -0.0016   0.0195   1.0000 137.4106 301.0000
  11.317   1.3670   0.01981   0.00825  -0.0015   0.0191   1.0000 137.5546 301.0000
  11.402   1.3742   0.02005   0.00842  -0.0013   0.0186   1.0000 137.6960 301.0000
  11.487   1.3812   0.02030   0.00859  -0.0011   0.0183   1.0000 137.8340 301.0000
  11.573   1.3880   0.02056   0.00878  -0.0009   0.0179   1.0000 137.9689 301.0000
  11.658   1.3953   0.02076   0.00892  -0.0007   0.0176   1.0000 138.0712 301.0000
  11.744   1.4027   0.02095   0.00905  -0.0006   0.0173   1.0000 138.1833 301.0000
  11.829   1.4099   0.02116   0.00919  -0.0004   0.0169   1.0000 138.3135 301.0000
  11.915   1.4170   0.02138   0.00934  -0.0002   0.0166   1.0000 138.4565 301.0000
  12.000   1.4239   0.02161   0.00950  -0.0000   0.0162   1.0000 138.6057 301.0000
