  
       XFOIL         Version 6.99
  
 Calculated polar for: Repaneled_Airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -5.000  -0.4665   0.01244   0.00328   0.0032   0.1157   0.2647 117.7242 202.0080
  -4.915  -0.4574   0.01235   0.00324   0.0033   0.1150   0.2650 117.8240 202.0446
  -4.829  -0.4484   0.01230   0.00320   0.0034   0.1143   0.2653 117.9286 202.0761
  -4.744  -0.4394   0.01227   0.00318   0.0035   0.1136   0.2656 118.0390 202.1049
  -4.658  -0.4301   0.01222   0.00318   0.0036   0.1128   0.2658 118.1461 202.1317
  -4.573  -0.4208   0.01219   0.00317   0.0037   0.1120   0.2660 118.2672 202.1570
  -4.487  -0.4115   0.01216   0.00316   0.0038   0.1112   0.2663 118.3906 202.1812
  -4.402  -0.4021   0.01213   0.00315   0.0038   0.1104   0.2665 118.5095 202.2045
  -4.317  -0.3927   0.01210   0.00313   0.0039   0.1097   0.2667 118.6212 202.2273
  -4.231  -0.3833   0.01207   0.00311   0.0040   0.1090   0.2669 118.7257 202.2497
  -4.146  -0.3739   0.01205   0.00309   0.0040   0.1083   0.2671 118.8272 202.2719
  -4.060  -0.3646   0.01205   0.00307   0.0041   0.1076   0.2673 118.9384 202.2939
  -3.975  -0.3553   0.01205   0.00307   0.0042   0.1068   0.2675 119.0553 202.3161
  -3.889  -0.3458   0.01203   0.00307   0.0043   0.1060   0.2677 119.1811 202.3386
  -3.804  -0.3363   0.01201   0.00306   0.0043   0.1050   0.2679 119.3265 202.3613
  -3.719  -0.3268   0.01199   0.00305   0.0044   0.1041   0.2681 119.4736 202.3843
  -3.633  -0.3172   0.01196   0.00302   0.0044   0.1032   0.2683 119.6118 202.4076
  -3.548  -0.3077   0.01194   0.00300   0.0045   0.1024   0.2686 119.7380 202.4311
  -3.462  -0.2982   0.01193   0.00297   0.0045   0.1016   0.2688 119.8581 202.4548
  -3.377  -0.2890   0.01195   0.00296   0.0046   0.1007   0.2690 119.9991 202.4785
  -3.292  -0.2795   0.01194   0.00296   0.0047   0.1000   0.2692 120.1063 202.5028
  -3.206  -0.2700   0.01193   0.00297   0.0047   0.0992   0.2694 120.2393 202.5275
  -3.121  -0.2605   0.01192   0.00296   0.0048   0.0983   0.2697 120.3791 202.5522
  -3.035  -0.2510   0.01191   0.00295   0.0048   0.0975   0.2699 120.5121 202.5772
  -2.950  -0.2415   0.01190   0.00294   0.0049   0.0967   0.2701 120.6344 202.6023
  -2.864  -0.2320   0.01189   0.00292   0.0049   0.0960   0.2704 120.7495 202.6275
  -2.779  -0.2226   0.01189   0.00290   0.0050   0.0952   0.2706 120.8655 202.6525
  -2.693  -0.2133   0.01192   0.00289   0.0051   0.0944   0.2708 121.0031 202.6773
  -2.608  -0.2038   0.01191   0.00290   0.0052   0.0937   0.2711 121.1124 202.7024
  -2.523  -0.1943   0.01190   0.00290   0.0052   0.0929   0.2713 121.2491 202.7272
  -2.437  -0.1847   0.01190   0.00290   0.0053   0.0920   0.2715 121.3956 202.7518
  -2.352  -0.1752   0.01189   0.00288   0.0053   0.0911   0.2717 121.5397 202.7762
  -2.266  -0.1656   0.01188   0.00286   0.0053   0.0903   0.2720 121.6758 202.8001
  -2.181  -0.1561   0.01188   0.00284   0.0054   0.0895   0.2722 121.8070 202.8234
  -2.095  -0.1467   0.01189   0.00282   0.0054   0.0886   0.2724 121.9498 202.8459
  -2.010  -0.1372   0.01191   0.00282   0.0055   0.0878   0.2726 122.0825 202.8680
  -1.925  -0.1277   0.01191   0.00283   0.0056   0.0869   0.2728 122.2238 202.8893
  -1.839  -0.1181   0.01191   0.00283   0.0056   0.0861   0.2730 122.3749 202.9097
  -1.754  -0.1085   0.01191   0.00282   0.0056   0.0852   0.2731 122.5245 202.9291
  -1.668  -0.0990   0.01191   0.00280   0.0057   0.0843   0.2733 122.6666 202.9475
  -1.583  -0.0894   0.01192   0.00278   0.0057   0.0835   0.2735 122.8047 202.9646
  -1.498  -0.0800   0.01195   0.00277   0.0058   0.0826   0.2736 122.9589 202.9804
  -1.412  -0.0705   0.01197   0.00278   0.0058   0.0818   0.2737 123.0945 202.9951
  -1.327  -0.0611   0.01195   0.00278   0.0059   0.0810   0.2740 123.2393 203.0274
  -1.241  -0.0518   0.01192   0.00277   0.0059   0.0801   0.2744 123.3955 203.0655
  -1.156  -0.0424   0.01190   0.00276   0.0060   0.0792   0.2747 123.5499 203.1017
  -1.070  -0.0330   0.01188   0.00274   0.0060   0.0784   0.2751 123.6969 203.1357
  -0.985  -0.0235   0.01188   0.00272   0.0061   0.0775   0.2754 123.8429 203.1679
  -0.899  -0.0142   0.01191   0.00271   0.0062   0.0766   0.2756 124.0073 203.1984
  -0.814  -0.0047   0.01190   0.00273   0.0062   0.0758   0.2759 124.1399 203.2283
  -0.729   0.0048   0.01191   0.00273   0.0062   0.0750   0.2762 124.2959 203.2576
  -0.643   0.0143   0.01191   0.00274   0.0063   0.0741   0.2765 124.4535 203.2863
  -0.558   0.0238   0.01192   0.00273   0.0063   0.0733   0.2767 124.6016 203.3148
  -0.472   0.0334   0.01193   0.00273   0.0063   0.0725   0.2770 124.7427 203.3433
  -0.387   0.0428   0.01195   0.00272   0.0064   0.0717   0.2772 124.8878 203.3720
  -0.301   0.0522   0.01199   0.00272   0.0064   0.0709   0.2775 125.0394 203.4010
  -0.216   0.0618   0.01201   0.00275   0.0065   0.0701   0.2778 125.1818 203.4304
  -0.131   0.0713   0.01203   0.00276   0.0065   0.0692   0.2781 125.3482 203.4604
  -0.045   0.0809   0.01204   0.00276   0.0065   0.0683   0.2784 125.5197 203.4909
   0.040   0.0905   0.01205   0.00275   0.0066   0.0674   0.2786 125.6898 203.5217
   0.126   0.1000   0.01208   0.00273   0.0066   0.0664   0.2789 125.8658 203.5527
   0.211   0.1094   0.01213   0.00274   0.0066   0.0655   0.2792 126.0467 203.5841
   0.296   0.1190   0.01215   0.00277   0.0066   0.0647   0.2795 126.2053 203.6157
   0.382   0.1286   0.01218   0.00278   0.0067   0.0638   0.2798 126.3797 203.6476
   0.467   0.1381   0.01220   0.00279   0.0067   0.0629   0.2801 126.5517 203.6797
   0.553   0.1477   0.01223   0.00279   0.0067   0.0620   0.2804 126.7165 203.7118
   0.638   0.1572   0.01227   0.00279   0.0067   0.0612   0.2807 126.8794 203.7437
   0.724   0.1667   0.01233   0.00280   0.0068   0.0604   0.2810 127.0429 203.7754
   0.809   0.1763   0.01236   0.00283   0.0068   0.0596   0.2813 127.1913 203.8061
   0.894   0.1859   0.01240   0.00285   0.0068   0.0588   0.2816 127.3562 203.8372
   0.980   0.1955   0.01244   0.00287   0.0068   0.0580   0.2818 127.5167 203.8670
   1.065   0.2051   0.01248   0.00288   0.0068   0.0572   0.2821 127.6732 203.8957
   1.151   0.2146   0.01253   0.00289   0.0068   0.0565   0.2824 127.8285 203.9231
   1.236   0.2241   0.01261   0.00290   0.0069   0.0556   0.2826 128.0038 203.9487
   1.322   0.2337   0.01266   0.00294   0.0069   0.0550   0.2828 128.1374 203.9726
   1.407   0.2434   0.01272   0.00298   0.0069   0.0542   0.2830 128.2999 203.9948
   1.492   0.2529   0.01275   0.00300   0.0069   0.0534   0.2835 128.4656 204.0411
   1.578   0.2624   0.01278   0.00302   0.0069   0.0526   0.2840 128.6294 204.0935
   1.663   0.2719   0.01283   0.00303   0.0069   0.0518   0.2844 128.7960 204.1427
   1.749   0.2814   0.01290   0.00304   0.0069   0.0509   0.2849 128.9911 204.1889
   1.834   0.2910   0.01295   0.00309   0.0069   0.0503   0.2853 129.1377 204.2340
   1.920   0.3007   0.01300   0.00314   0.0069   0.0494   0.2857 129.3150 204.2778
   2.005   0.3103   0.01306   0.00317   0.0068   0.0486   0.2861 129.4979 204.3211
   2.091   0.3199   0.01312   0.00320   0.0068   0.0478   0.2865 129.6744 204.3642
   2.176   0.3295   0.01320   0.00323   0.0068   0.0470   0.2869 129.8428 204.4075
   2.261   0.3391   0.01330   0.00327   0.0068   0.0463   0.2873 130.0170 204.4508
   2.347   0.3488   0.01337   0.00333   0.0068   0.0456   0.2877 130.1614 204.4949
   2.432   0.3585   0.01345   0.00339   0.0067   0.0449   0.2881 130.3283 204.5398
   2.518   0.3681   0.01354   0.00344   0.0067   0.0442   0.2886 130.4959 204.5854
   2.603   0.3778   0.01363   0.00349   0.0067   0.0435   0.2890 130.6563 204.6315
   2.688   0.3874   0.01373   0.00354   0.0066   0.0428   0.2894 130.8124 204.6780
   2.774   0.3970   0.01386   0.00359   0.0066   0.0421   0.2899 130.9855 204.7241
   2.859   0.4067   0.01397   0.00367   0.0066   0.0415   0.2903 131.1121 204.7706
   2.945   0.4164   0.01408   0.00376   0.0065   0.0409   0.2907 131.2536 204.8164
   3.030   0.4261   0.01421   0.00385   0.0065   0.0403   0.2912 131.4016 204.8611
   3.116   0.4359   0.01435   0.00394   0.0064   0.0397   0.2916 131.5489 204.9040
   3.201   0.4456   0.01450   0.00403   0.0063   0.0391   0.2919 131.6938 204.9443
   3.286   0.4552   0.01466   0.00412   0.0063   0.0385   0.2923 131.8419 204.9813
   3.457   0.4744   0.01495   0.00432   0.0062   0.0374   0.2935 132.1169 205.1058
   3.543   0.4841   0.01511   0.00446   0.0061   0.0369   0.2941 132.2508 205.1738
   3.628   0.4937   0.01527   0.00459   0.0061   0.0363   0.2947 132.3930 205.2387
   3.714   0.5034   0.01544   0.00472   0.0060   0.0358   0.2953 132.5330 205.3031
   3.799   0.5130   0.01563   0.00486   0.0059   0.0352   0.2960 132.6683 205.3679
   3.884   0.5225   0.01582   0.00499   0.0059   0.0347   0.2966 132.7994 205.4337
   3.970   0.5319   0.01602   0.00511   0.0059   0.0342   0.2972 132.9378 205.5009
   4.055   0.5413   0.01621   0.00526   0.0058   0.0337   0.2979 133.0558 205.5703
   4.141   0.5508   0.01643   0.00545   0.0058   0.0333   0.2985 133.1642 205.6408
   4.226   0.5603   0.01664   0.00563   0.0058   0.0329   0.2992 133.2823 205.7109
   4.312   0.5697   0.01686   0.00581   0.0057   0.0324   0.2999 133.4013 205.7807
   4.397   0.5791   0.01710   0.00599   0.0057   0.0320   0.3005 133.5170 205.8492
   4.482   0.5884   0.01734   0.00618   0.0057   0.0316   0.3011 133.6301 205.9148
   4.568   0.5976   0.01759   0.00637   0.0057   0.0312   0.3017 133.7411 205.9757
   4.653   0.6067   0.01782   0.00654   0.0057   0.0307   0.3025 133.8574 206.0581
   4.739   0.6157   0.01800   0.00665   0.0057   0.0302   0.3034 133.9923 206.1562
   4.824   0.6249   0.01828   0.00691   0.0057   0.0299   0.3044 134.0756 206.2520
   4.910   0.6339   0.01859   0.00720   0.0057   0.0296   0.3053 134.1740 206.3464
   4.995   0.6429   0.01890   0.00747   0.0057   0.0292   0.3062 134.2839 206.4424
   5.080   0.6519   0.01920   0.00775   0.0057   0.0288   0.3071 134.3979 206.5397
   5.166   0.6607   0.01952   0.00803   0.0058   0.0284   0.3081 134.5107 206.6375
   5.251   0.6695   0.01987   0.00833   0.0058   0.0280   0.3090 134.6217 206.7350
   5.337   0.6781   0.02021   0.00861   0.0058   0.0276   0.3099 134.7314 206.8316
   5.422   0.6868   0.02053   0.00887   0.0059   0.0272   0.3108 134.8459 206.9248
   5.593   0.7039   0.02113   0.00937   0.0061   0.0265   0.3130 135.0563 207.1523
   5.678   0.7122   0.02157   0.00980   0.0061   0.0263   0.3143 135.1388 207.2837
   5.764   0.7204   0.02202   0.01024   0.0062   0.0259   0.3156 135.2342 207.4247
   5.849   0.7286   0.02246   0.01066   0.0063   0.0256   0.3171 135.3358 207.5776
   5.935   0.7367   0.02291   0.01108   0.0065   0.0253   0.3187 135.4385 207.7417
   6.020   0.7446   0.02337   0.01151   0.0066   0.0249   0.3203 135.5391 207.9119
   6.191   0.7601   0.02434   0.01242   0.0068   0.0243   0.3246 135.7308 208.3551
   6.276   0.7678   0.02480   0.01285   0.0070   0.0240   0.3274 135.8242 208.6359
   6.362   0.7755   0.02521   0.01320   0.0071   0.0237   0.3305 135.9233 208.9546
   6.447   0.7833   0.02560   0.01354   0.0073   0.0234   0.3346 136.0184 209.3799
   6.533   0.7904   0.02620   0.01416   0.0075   0.0232   0.3400 136.0816 209.9214
   6.618   0.7972   0.02682   0.01480   0.0077   0.0229   0.3479 136.1531 210.7270
   6.704   0.8040   0.02741   0.01542   0.0079   0.0227   0.3627 136.2291 212.2141
   6.789   0.8107   0.02746   0.01591   0.0078   0.0225   0.5358 136.3032 229.0140
   6.874   0.8167   0.02782   0.01661   0.0080   0.0222   0.6544 136.3771 240.6776
   6.960   0.8231   0.02854   0.01734   0.0083   0.0220   0.6650 136.4509 241.7529
   7.045   0.8293   0.02929   0.01808   0.0086   0.0218   0.6717 136.5214 242.4428
   7.131   0.8356   0.03002   0.01879   0.0089   0.0216   0.6769 136.5894 242.9816
   7.216   0.8418   0.03074   0.01948   0.0091   0.0214   0.6804 136.6554 243.3464
   7.301   0.8480   0.03144   0.02015   0.0094   0.0212   0.6838 136.7202 243.6964
   7.387   0.8542   0.03214   0.02079   0.0097   0.0210   0.6868 136.7856 244.0112
   7.472   0.8604   0.03279   0.02140   0.0099   0.0208   0.6890 136.8543 244.2340
   7.558   0.8673   0.03328   0.02181   0.0101   0.0205   0.6912 136.9300 244.4722
   7.643   0.8742   0.03373   0.02217   0.0104   0.0203   0.6935 137.0052 244.7086
   7.729   0.8784   0.03483   0.02328   0.0107   0.0202   0.6952 137.0385 244.8911
   7.814   0.8823   0.03595   0.02439   0.0111   0.0201   0.6966 137.0756 245.0358
   7.899   0.8862   0.03705   0.02551   0.0115   0.0200   0.6976 137.1156 245.1436
   7.985   0.8897   0.03819   0.02665   0.0119   0.0199   0.6987 137.1576 245.2538
   8.070   0.8926   0.03945   0.02793   0.0123   0.0198   0.6997 137.2008 245.3629
   8.156   0.8951   0.04076   0.02925   0.0127   0.0196   0.7008 137.2443 245.4723
   8.241   0.8975   0.04207   0.03057   0.0130   0.0195   0.7018 137.2880 245.5866
   8.327   0.8996   0.04341   0.03191   0.0133   0.0194   0.7029 137.3311 245.7019
   8.412   0.9012   0.04483   0.03333   0.0136   0.0193   0.7040 137.3732 245.8126
   8.498   0.9017   0.04643   0.03495   0.0139   0.0191   0.7049 137.4132 245.9098
   8.583   0.9020   0.04805   0.03657   0.0141   0.0190   0.7057 137.4519 245.9984
   8.668   0.9020   0.04968   0.03821   0.0143   0.0189   0.7063 137.4889 246.0562
   8.754   0.9015   0.05136   0.03992   0.0145   0.0188   0.7068 137.5241 246.1104
   8.839   0.8997   0.05326   0.04184   0.0145   0.0187   0.7072 137.5565 246.1578
   8.925   0.8959   0.05550   0.04411   0.0144   0.0187   0.7076 137.5848 246.1950
   9.010   0.8918   0.05775   0.04639   0.0141   0.0186   0.7079 137.6114 246.2306
   9.095   0.8866   0.06015   0.04882   0.0137   0.0185   0.7082 137.6350 246.2603
   9.181   0.8789   0.06296   0.05167   0.0129   0.0185   0.7083 137.6535 246.2756
   9.266   0.8653   0.06677   0.05556   0.0114   0.0184   0.7081 137.6615 246.2546
   9.352   0.8506   0.07059   0.05946   0.0094   0.0184   0.7079 137.6662 246.2257
   9.437   0.8252   0.07513   0.06410   0.0073   0.0185   0.7070 137.6500 246.1385
